marca,descripcion,calificacion,total_calificadores,precio,categoria,tipo_piel,zona_aplicacion
Anne Moller,Rosâge Hyaluronic Acid Gel Concentrado,--stars:4.75,(4),41.00,Antiarrugas y antiedad,Sensible,Rostro
Kiehl's,Micro-Dose Anti-Aging Retinol Serum with Ceramides and Peptide Serum Antiedad,--stars:4.78,(127),57.00,Antiarrugas y antiedad,Sensible,Rostro
It Cosmetics,Confidence Crema Antiedad Hidratante,--stars:5.00,(1462),65.00,Antiarrugas y antiedad,Sensible,Rostro
Kiehl's,Super Multi-Corrective Cream Crema Reafirmante Multi-correctora,--stars:4.95,(75),80.00,Antiarrugas y antiedad,Sensible,Rostro
Lancôme,Nutrix Royal Crema Nutritiva,--stars:5.00,(6),77.00,Antiarrugas y antiedad,Sensible,Rostro
Sisley,Bálsamo Rose Noire,--stars:4.86,(14),207.00,Antiarrugas y antiedad,Sensible,Rostro
Lancaster,Golden Lift Tightening Serum,,,131.00,Antiarrugas y antiedad,Sensible,Rostro
Elizabeth Arden,White Tea Skin Solutions Serum Aceite Bifase Fortificante,,,69.00,Antiarrugas y antiedad,Sensible,Rostro
Collistar,Lifting Hidratante Ácido Hialurónico,--stars:2.33,(3),49.00,Antiarrugas y antiedad,Sensible,Rostro
Guerlain,Orchidée Impériale Brightening Escudo Protector UV Global,,,160.35,Antiarrugas y antiedad,Sensible,Rostro
Guerlain,Emulsión Super Aqua Rica,--stars:4.50,(2),141.70,Antiarrugas y antiedad,Sensible,Rostro
Helena Rubinstein,Prodigy Cellglow Oilixir,,,291.00,Antiarrugas y antiedad,Sensible,Rostro
It Cosmetics,Bye Bye Lines Sérum Facial Reductor Líneas de Expresión,--stars:4.00,(3),37.00,Antiarrugas y antiedad,Sensible,Rostro
Sensai,Comforting Barrier Essence,,,184.00,Antiarrugas y antiedad,Sensible,Rostro
Guerlain,Emulsión Super Aqua Light,,,141.70,Antiarrugas y antiedad,Sensible,Rostro
Helena Rubinstein,Prodigy Cellglow the Sheer Rosy UV Fluid Crema Iluminadora Ligera Anti-UV,--stars:5.00,(1),122.00,Antiarrugas y antiedad,Sensible,Rostro
Lancaster,Crème Princière Moisturiser,,,258.00,Antiarrugas y antiedad,Sensible,Rostro
Inglot,Aceite Facial Dream Drop Face Oil,--stars:5.00,(2),43.99,Antiarrugas y antiedad,Sensible,Rostro
Guerlain,Emulsión Super Aqua Universal,,,141.70,Antiarrugas y antiedad,Sensible,Rostro
Clinique,Smart Clinical Repair Crema Reafirmante + Lifting para Rostro y Cuello,--stars:5.00,(2),100.00,Antiarrugas y antiedad,Sensible,Cuello
It Cosmetics,Confidence Crema Antiedad Hidratante,--stars:5.00,(1462),65.00,Antiarrugas y antiedad,Sensible,Cuello
Kiehl's,Super Multi-Corrective Cream Crema Reafirmante Multi-correctora,--stars:4.95,(75),80.00,Antiarrugas y antiedad,Sensible,Cuello
Lancôme,Nutrix Royal Crema Nutritiva,--stars:5.00,(6),77.00,Antiarrugas y antiedad,Sensible,Cuello
Lancôme,Rénergie C.R.x. Triple Serum Retinol,,,89.00,Antiarrugas y antiedad,Normal,Rostro
Anne Moller,Stimulâge Glow Firming Crema de día Iluminadora Reafirmante SPF15,--stars:5.00,(1),49.50,Antiarrugas y antiedad,Normal,Rostro
Estée Lauder,Resilience Multi Effect Tri-Peptide Face and Neck Crème,--stars:4.86,(7),170.00,Antiarrugas y antiedad,Normal,Rostro
Clarins,Rose Radiance Crema Multi-Intensiva,--stars:4.33,(6),130.00,Antiarrugas y antiedad,Normal,Rostro
Sensai,Cellular Performance Lotion I Light Loción Hidratante,--stars:4.81,(16),97.00,Antiarrugas y antiedad,Normal,Rostro
Guerlain,Orchidée Impériale Brightening Escudo Protector UV Global,,,160.35,Antiarrugas y antiedad,Normal,Rostro
Dermalogica,Dynamic Skin Retinol Serum,,,108.95,Antiarrugas y antiedad,Normal,Rostro
Estée Lauder,Resilience Multi Effect Tri-Peptide Face and Neck Crème,--stars:4.86,(7),170.00,Antiarrugas y antiedad,Normal,Cuello
Dermalogica,Dynamic Skin Retinol Serum,,,108.95,Antiarrugas y antiedad,Normal,Cuello
